slot,kaynak_dosya,kaynak_tipi,sahiplik,not
hero.jpg,kaynak-fotolar/kendi/own-014.jpg,CLIENT_PHOTO,IG_OWN_POST_VERIFIED @bekirsozakphotographr,"Kanyon ışık huzmesi; figür uzak, yüz seçilmiyor; rötuş YOK (hash birebir)"
seri-1.jpg,kaynak-fotolar/kendi/own-023.jpg,CLIENT_PHOTO,IG_OWN_POST_VERIFIED @bekirsozakphotographr,"Şafak tozunda atlı, uzak plan"
seri-2.jpg,kaynak-fotolar/kendi/own-025.jpg,CLIENT_PHOTO,IG_OWN_POST_VERIFIED @bekirsozakphotographr,"Uçan elbise, peri bacaları, figür dönük/uzak"
seri-3.jpg,kaynak-fotolar/kendi/own-020.jpg,CLIENT_PHOTO,IG_OWN_POST_VERIFIED @bekirsozakphotographr,"Deve üstünde misafir, uzak plan"
seri-4.jpg,kaynak-fotolar/kendi/own-001.jpg,CLIENT_PHOTO,IG_OWN_POST_VERIFIED @bekirsozakphotographr,"Gece gökyüzü, insansız"
gal-01.jpg,kaynak-fotolar/kendi/own-003.jpg,CLIENT_PHOTO,IG_OWN_POST_VERIFIED @bekirsozakphotographr,"Kanyon, figür çok uzak"
gal-02.jpg,kaynak-fotolar/kendi/own-012.jpg,CLIENT_PHOTO,IG_OWN_POST_VERIFIED @bekirsozakphotographr,"At + misafir; yüz eğik/yeleyle kısmen kapalı, orta karo"
gal-03.jpg,kaynak-fotolar/kendi/own-010.jpg,CLIENT_PHOTO,IG_OWN_POST_VERIFIED @bekirsozakphotographr,"Altın saat atlı, uzak"
gal-04.jpg,kaynak-fotolar/kendi/own-016.jpg,CLIENT_PHOTO,IG_OWN_POST_VERIFIED @bekirsozakphotographr,"Kanyon huzmesi, figür minik"
gal-05.jpg,kaynak-fotolar/kendi/own-024.jpg,CLIENT_PHOTO,IG_OWN_POST_VERIFIED @bekirsozakphotographr,"Beyaz tepelerde atlı, uzak"
gal-06.jpg,kaynak-fotolar/kendi/own-015.jpg,CLIENT_PHOTO,IG_OWN_POST_VERIFIED @bekirsozakphotographr,"Kanyon koridoru, figür uzak"
gal-07.jpg,kaynak-fotolar/kendi/own-041.jpg,CLIENT_PHOTO,IG_OWN_POST_VERIFIED @bekirsozakphotographr,"Siyah at + misafir, yüz küçük/eğik"
gal-08.jpg,kaynak-fotolar/kendi/own-017.jpg,CLIENT_PHOTO,IG_OWN_POST_VERIFIED @bekirsozakphotographr,"Kaya evler, figür uzak"
gal-09.jpg,kaynak-fotolar/kendi/own-035.jpg,CLIENT_PHOTO,IG_OWN_POST_VERIFIED @bekirsozakphotographr,"Dağ serisi jeep, yüz gölgede/dönük"
gal-10.jpg,kaynak-fotolar/kendi/own-007.jpg,CLIENT_PHOTO,IG_OWN_POST_VERIFIED @bekirsozakphotographr,"Kartal karesi; yüz profilde küçük oran, ikonik iş"
gal-11.jpg,kaynak-fotolar/kendi/own-019.jpg,CLIENT_PHOTO,IG_OWN_POST_VERIFIED @bekirsozakphotographr,"Deve molası; İLK KURGUDAKİ net-yüz portre QC'de değiştirildi"
gal-12.jpg,kaynak-fotolar/kendi/own-037.jpg,CLIENT_PHOTO,IG_OWN_POST_VERIFIED @bekirsozakphotographr,"Dağ serisi profil, yüz seçilmiyor"
logo,-,WORDMARK_TIPOGRAFIK,-,"IG avatarı fotoğraf (ateşli portre) — logo değil; diyafram-simgeli tipografik wordmark tasarlandı, sahte logo üretilmedi"
